NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Autauga County, Alabama",0500000US01001,53944,36.4,42577,9755,114,385,0,278,21859,19998,15548,4450,12272,94,54,125,698,1932,9369,137500,43,53591,5830,25035,353,53899,36190,15859,822,32949,31599,28294,6691,01,001
"Baldwin County, Alabama",0500000US01003,179523,41.4,155068,16936,1119,1207,2,2738,102978,70757,53939,16818,42009,124,170,203,1626,5340,34546,175700,751,177223,22095,27217,2514,51321,97885,73481,1426,107919,101433,94440,26687,01,003
"Barbour County, Alabama",0500000US01005,27546,38.3,13576,12632,92,147,0,508,11903,9589,6371,3218,8209,82,47,410,739,1934,4997,91600,75,24610,6083,15899,41,34041,18897,7715,101,17487,16554,14998,2022,01,005
"Bibb County, Alabama",0500000US01007,22746,39.1,17437,5153,77,12,0,11,8933,7225,5998,1227,4030,172,16,43,798,1000,2001,87500,10,22057,3453,18462,37,40506,19500,2920,35,14513,14242,12421,1284,01,007
"Blount County, Alabama",0500000US01009,57140,38.8,54446,806,342,48,0,762,23728,20954,16747,4207,11114,90,60,100,699,2426,7739,111500,45,56703,7773,21185,290,45404,45434,8952,164,34829,32249,30222,3610,01,009
"Bullock County, Alabama",0500000US01011,10877,41.2,3115,7619,18,0,18,0,4520,3760,2994,766,2309,10,192,19,380,249,1459,68000,46,10465,2720,20678,145,31955,9229,1117,37,7046,6617,6090,906,01,011
"Butler County, Alabama",0500000US01013,20860,40.0,11428,9091,30,164,0,1,9987,8090,5749,2341,6061,75,9,157,585,1608,3627,74300,4,20565,5288,17091,52,31273,17670,2949,24,12373,12160,10645,1463,01,013
"Calhoun County, Alabama",0500000US01015,117614,38.4,88450,24103,330,762,82,1767,53208,45923,32171,13752,33717,403,331,472,2942,6090,23479,99600,116,114792,23432,20903,748,39467,84979,28634,1311,73886,70334,61319,10268,01,015
"Chambers County, Alabama",0500000US01017,34375,40.6,20299,13490,14,149,17,48,16892,13562,9677,3885,9725,305,201,122,1125,1586,6386,82400,19,33918,7108,17705,111,32186,25222,8613,146,20821,20370,18062,2097,01,017
"Cherokee County, Alabama",0500000US01019,25819,44.2,23948,1283,181,57,3,92,16116,11508,8721,2787,6145,58,150,12,640,1061,4224,96200,36,25325,5263,21673,196,37833,14783,10645,174,15804,15533,13973,1671,01,019
"Chilton County, Alabama",0500000US01021,43444,37.3,37978,4169,253,103,0,404,19231,16277,12259,4018,10495,76,109,309,850,1925,7226,104300,24,42980,7471,20826,253,40418,35216,6189,137,26655,24689,22920,3096,01,021
"Choctaw County, Alabama",0500000US01023,13953,43.6,7738,6011,0,45,0,5,7324,5165,4382,783,2037,11,97,182,225,321,1201,61400,13,13793,2826,18201,91,32188,8474,5345,73,8266,8125,7209,787,01,023
"Clarke County, Alabama",0500000US01025,26046,39.7,14327,10872,492,107,0,48,12648,9114,7027,2087,5850,285,60,756,671,1465,2613,79900,35,25810,7027,18471,175,29668,22205,3604,101,15369,15128,13130,1664,01,025
"Clay County, Alabama",0500000US01027,14010,41.7,11431,2213,21,0,0,157,6779,5837,4462,1375,2919,85,121,83,282,808,1540,83400,39,13677,2563,18284,12,35410,11204,2464,32,8354,8045,7333,742,01,027
"Cleburne County, Alabama",0500000US01029,14881,40.6,14077,552,38,2,0,17,6704,5521,4333,1188,3072,0,112,96,226,501,2137,88200,12,14720,2469,18881,61,38785,8404,6257,35,8955,8798,7822,880,01,029
"Coffee County, Alabama",0500000US01031,49221,37.7,38158,8565,441,548,0,321,22149,18799,13268,5531,13790,170,64,202,952,2047,10355,121800,56,48381,8578,22953,317,42065,29945,15922,1039,30146,27843,25732,5932,01,031
"Colbert County, Alabama",0500000US01033,54478,41.7,44084,8785,326,208,0,318,25697,22322,16231,6091,14496,234,337,335,1639,2726,9225,97300,132,53853,8877,21693,399,40247,42133,11239,193,32966,32145,28577,5287,01,033
"Conecuh County, Alabama",0500000US01035,13286,43.1,6874,5903,135,0,0,0,7099,4712,3739,973,2872,77,0,58,456,745,1536,76700,3,13211,3693,16673,58,27977,10784,2458,18,7813,7764,6457,855,01,035
"Coosa County, Alabama",0500000US01037,11303,43.7,7604,3598,0,0,0,10,6469,4667,3950,717,1791,134,41,38,324,189,1065,79200,0,10938,2056,19966,24,37191,9485,1437,161,7149,6909,6314,509,01,037
"Covington County, Alabama",0500000US01039,37736,42.1,31981,4735,240,128,0,249,18821,14742,10906,3836,10056,231,266,223,915,1304,7117,86100,47,37150,8013,20246,261,33544,29139,7954,139,22236,21706,19228,2725,01,039
"Crenshaw County, Alabama",0500000US01041,13938,39.7,10177,3131,101,180,0,0,6758,5650,3903,1747,3975,117,89,120,459,418,2772,75400,41,13759,2329,21993,118,38041,11325,2285,49,8406,8130,7277,906,01,041
"Cullman County, Alabama",0500000US01043,80246,39.9,76905,817,505,371,32,503,36994,31364,23618,7746,18794,409,96,395,1001,3105,13788,102300,126,79160,13914,20621,394,38703,60402,17528,160,48849,46471,42034,6398,01,043
"Dale County, Alabama",0500000US01045,49920,36.0,37367,9884,137,683,58,436,22645,19454,11916,7538,19071,81,89,293,1232,2531,14845,96800,120,48117,7466,22326,232,45491,27280,19347,1349,30847,28619,26066,4859,01,045
"Dallas County, Alabama",0500000US01047,43868,36.9,12981,30207,42,155,0,200,20268,16913,10406,6507,17231,280,419,635,1685,2978,11234,70200,19,43384,15053,17259,173,26909,38405,4934,171,26056,25670,21950,2946,01,047
"DeKalb County, Alabama",0500000US01049,70608,37.3,64659,1180,1044,213,5,2092,30942,26196,20422,5774,15394,82,160,326,1271,1315,12240,87400,120,69853,13830,18788,390,36853,47111,17987,363,42541,37814,36875,4078,01,049
