NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state
Alabama,0400000US01,4747424,37.7,3307557,1244112,26399,52668,1256,49759,2161247,1831269,1294557,536712,1303766,13040,13724,26799,90928,196789,962486,120800,9750,4631432,813385,23483,45263,42934,3337708,1209996,36461,2967885,2800411,2490744,585702,01
Alaska,0400000US02,700703,33.8,472504,23426,97628,35912,6848,8981,304373,252920,162646,90274,224074,381,1292,3872,13237,28236,177056,235100,874,684608,65111,31944,12338,69014,273919,362815,15613,461925,386067,386124,106642,02
Arizona,0400000US04,6337373,35.7,4987541,252127,280986,172290,11933,460186,2816719,2344215,1560581,783634,2052515,3510,7928,24113,93343,243910,1679711,197400,29410,6197190,1003575,25784,81989,50752,2336618,3044309,73542,3852667,2756533,3225752,870971,04
Arkansas,0400000US05,2895928,37.3,2271277,449283,17239,34815,5031,64000,1309888,1121386,756915,364471,885845,5284,6538,13357,52508,123145,685013,105100,3656,2814184,516822,21833,22080,40149,1767358,982131,18958,1774173,1642964,1491148,311814,05
California,0400000US06,36969200,35.1,22860341,2252129,287712,4825271,141382,5142478,13631129,12433172,7055642,5377530,15160926,52555,124958,368117,1656973,2840102,10118221,421600,610549,36211794,5211481,29634,858492,61632,19736484,6760658,429484,23497849,13053718,19630011,6121303,06
Colorado,0400000US08,4966061,35.9,4167044,195640,48201,134228,5798,255364,2197823,1941193,1295906,645287,1512472,4242,5233,16263,69072,179645,1238017,236700,29528,4852160,607727,30816,94021,57685,2098058,2317809,66979,3218645,2678547,2730549,1029430,08
Connecticut,0400000US09,3558172,39.8,2796198,347941,8104,134108,1327,188390,1482798,1360115,937339,422776,951401,10617,10454,23615,91557,174801,640357,293100,45835,3448191,326771,37627,117665,69243,1968966,992791,122276,2238494,1739714,1914448,734511,09
Delaware,0400000US10,890856,38.6,630804,188519,3109,28726,442,19821,403095,332837,242808,90029,227834,800,1687,4143,17213,39478,164513,244100,3898,865744,96805,29659,14576,59317,403139,399257,14327,558850,484091,469387,138709,10
District of Columbia,0400000US11,593955,34.1,231122,308516,1779,20773,311,20095,295510,260136,111381,148755,302811,3117,6496,9886,34341,52303,196668,442600,11453,560760,101833,43993,27336,61835,226085,279912,9051,423043,356524,339687,181279,11
Florida,0400000US12,18688787,40.5,14270053,2946899,58192,455403,11005,564351,8944635,7140096,4928508,2211588,5648271,11681,21812,71545,297151,778686,4467396,188600,108694,18282511,2679400,26733,263690,47827,6464102,8044643,584251,11476501,8147052,9742763,2655353,12
Georgia,0400000US13,9600612,35.2,5849795,2922448,23979,308677,4653,330408,4063024,3490754,2332685,1158069,3006561,15580,20719,46244,155991,402953,2365074,160200,25814,9336746,1541462,25383,133397,49736,5305551,3248411,117495,6115824,5264947,5146372,1501175,13
Hawaii,0400000US15,1346554,38.4,335908,21628,3198,524274,129157,16293,516394,445513,261487,184026,500543,6956,9412,16330,52538,85447,329860,529500,23807,1311890,134387,29203,24466,67116,738779,328466,39219,853403,630232,724403,225803,15
Idaho,0400000US16,1549987,34.5,1431372,8823,19584,18714,2425,31121,661851,575497,406513,168984,428526,995,2206,4698,18540,51567,350520,171300,5402,1519070,216734,22788,12710,46890,719536,723472,14855,936550,833991,781124,201691,16
Illinois,0400000US17,12790182,36.4,9214977,1859608,25216,583302,3185,869769,5285389,4773002,3279571,1493431,3552870,24373,35757,85269,288262,581381,2537828,198500,53191,12487023,1640428,29376,238852,56576,8535643,2373373,126358,8062227,6197069,6812826,2272689,17
Indiana,0400000US18,6454254,36.8,5482893,576304,14772,99194,1233,148087,2788797,2472870,1758192,714678,1653942,8952,10407,25406,93265,227109,1288803,123300,7787,6255949,885150,24497,60165,48393,4410350,1713826,37313,4019131,3684742,3369689,828162,18
Iowa,0400000US19,3032266,38.0,2782349,85714,9958,52881,1112,47376,1332487,1219137,890161,328976,695764,5996,6058,16071,46004,94748,526887,121300,3672,2932765,347536,26110,29992,50451,2191076,698366,14356,1857244,1720209,1549502,429653,19
Kansas,0400000US20,2830985,36.1,2412703,163063,23860,67532,1734,76328,1228959,1104479,761874,342605,766897,3621,4069,10826,40995,97919,609467,125500,3659,2746674,347184,26545,35088,50594,1662018,963033,23244,1740356,1541736,1450356,465098,20
Kentucky,0400000US21,4316040,37.8,3808381,336628,8913,47754,2403,42767,1921067,1681085,1168223,512862,1204989,7762,8855,23355,81581,180223,903213,118700,6539,4186093,756947,23033,37928,42248,3037063,1115946,27505,2723796,2584092,2310527,517968,21
