NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9426, Apache County, Arizona",1400000US04001942600,1587,29.5,0,0,1587,0,0,0,743,376,355,21,85,75,28500,355,0,1587,739,7172,376,0,17500,1587,1061,526,0,853,27,85,0,0,0,0,10,75,04,001,942600
"Census Tract 9427, Apache County, Arizona",1400000US04001942700,5087,34.4,48,0,5037,2,0,0,2658,1326,1113,213,773,404,60900,1113,12,5073,1766,10546,1326,0,23714,5087,2286,2797,0,2752,391,773,9,0,125,78,157,404,04,001,942700
"Census Tract 9440, Apache County, Arizona",1400000US04001944000,6118,29.8,148,1,5836,20,14,0,2134,1300,916,384,2124,989,68300,916,13,6091,2185,13661,1300,13,41229,6118,4742,1356,0,3812,1088,2124,64,0,69,88,914,989,04,001,944000
"Census Tract 9441, Apache County, Arizona",1400000US04001944100,5117,21.3,265,8,4729,66,4,6,2382,1119,870,249,1150,482,72000,870,17,4837,2433,7956,1119,6,19935,5117,4160,893,6,2860,402,1150,0,0,168,248,252,482,04,001,944100
"Census Tract 9442.01, Apache County, Arizona",1400000US04001944201,4025,23.7,319,49,3617,40,0,0,1477,1025,408,617,2407,955,29800,408,0,3922,1219,13198,1025,44,38646,4025,3198,761,26,2280,599,2407,0,0,200,658,594,955,04,001,944201
"Census Tract 9442.02, Apache County, Arizona",1400000US04001944202,3367,40.0,128,7,3207,0,0,25,1493,922,798,124,346,97,51700,798,0,3200,1309,11320,922,0,18289,3367,3005,332,0,2350,507,346,0,0,70,69,110,97,04,001,944202
"Census Tract 9443, Apache County, Arizona",1400000US04001944300,6719,25.1,82,0,6594,7,5,0,3314,1716,1353,363,1486,742,52100,1353,5,6711,2789,8737,1716,0,21701,6719,6227,472,8,3309,468,1486,0,31,53,492,168,742,04,001,944300
"Census Tract 9449.01, Apache County, Arizona",1400000US04001944901,3729,27.0,94,22,3578,3,5,0,1945,882,652,230,948,414,60500,652,14,3686,1505,8834,882,3,22692,3729,3209,514,0,1867,351,948,0,48,115,84,287,414,04,001,944901
"Census Tract 9449.02, Apache County, Arizona",1400000US04001944902,6067,30.2,113,2,5879,22,0,16,2444,1393,1171,222,959,498,57400,1171,8,6035,2519,9534,1393,3,23472,6067,5451,585,22,3338,613,959,0,73,82,113,193,498,04,001,944902
"Census Tract 9450.01, Apache County, Arizona",1400000US04001945001,4665,32.0,155,5,4447,41,0,17,1525,1142,544,598,2063,632,81100,544,0,4556,1612,12876,1142,0,41250,4665,3768,836,0,2797,489,2063,104,0,216,581,530,632,04,001,945001
"Census Tract 9450.02, Apache County, Arizona",1400000US04001945002,4221,32.4,134,7,3861,0,0,5,1835,1106,986,120,518,259,56700,986,13,4220,1874,9087,1106,5,17773,4221,2518,1627,14,2526,526,518,0,0,43,78,138,259,04,001,945002
"Census Tract 9451, Apache County, Arizona",1400000US04001945100,2579,25.4,321,14,2199,0,4,0,760,546,441,105,586,486,84600,441,0,2570,703,9881,546,0,33292,2579,1581,997,0,1317,348,586,0,0,0,18,82,486,04,001,945100
"Census Tract 9702, Apache County, Arizona",1400000US04001970200,4941,46.6,4633,64,110,0,18,12,2685,1684,1460,224,693,429,117000,1460,7,4941,1187,18631,1684,45,34800,4941,2314,2286,108,2854,2521,693,8,0,0,224,32,429,04,001,970200
"Census Tract 9703, Apache County, Arizona",1400000US04001970300,3728,34.3,2733,108,313,0,0,491,1546,1155,804,351,929,614,134400,804,26,3216,605,17042,1155,27,38997,3728,1874,1341,55,2383,1596,929,0,0,93,123,99,614,04,001,970300
"Census Tract 9705.01, Apache County, Arizona",1400000US04001970501,5058,35.9,4734,1,80,0,0,144,2120,1731,1293,438,1567,1045,140000,1293,2,4979,930,19587,1731,19,46569,5058,2486,2379,39,2795,2237,1567,0,0,8,271,243,1045,04,001,970501
"Census Tract 9705.02, Apache County, Arizona",1400000US04001970502,3898,48.7,3455,0,291,44,0,14,3450,1530,1278,252,973,621,188000,1278,41,3892,745,22228,1530,8,42500,3898,1506,2253,44,2059,1771,973,0,0,26,184,142,621,04,001,970502
"Census Tract 1, Cochise County, Arizona",1400000US04003000100,2262,50.0,2002,20,1,0,0,134,1296,904,714,190,452,358,85400,714,25,2262,517,20168,904,17,33750,2262,883,1230,43,1174,933,452,0,0,5,5,84,358,04,003,000100
"Census Tract 2.01, Cochise County, Arizona",1400000US04003000201,3643,38.2,3345,52,0,0,0,197,1389,1120,872,248,918,426,112100,872,0,3643,219,25056,1120,40,60089,3643,1650,1086,0,2457,1263,918,0,0,0,0,492,426,04,003,000201
"Census Tract 2.02, Cochise County, Arizona",1400000US04003000202,3794,35.9,3451,10,4,0,0,202,1994,1503,907,596,1538,1199,92500,907,25,3754,1024,17599,1503,16,32016,3794,1740,1462,16,2438,1378,1538,0,0,11,173,155,1199,04,003,000202
"Census Tract 2.03, Cochise County, Arizona",1400000US04003000203,2922,57.0,2760,58,0,0,0,42,1940,1338,1185,153,378,213,130700,1185,25,2908,491,18298,1338,0,35144,2922,912,1888,6,1466,1374,378,8,0,0,42,115,213,04,003,000203
"Census Tract 3.01, Cochise County, Arizona",1400000US04003000301,3883,50.5,3391,0,42,22,0,171,2325,1708,1014,694,1563,1302,106300,1014,0,3831,879,19758,1708,16,31591,3883,1427,2116,72,2249,1687,1563,0,16,14,13,218,1302,04,003,000301
"Census Tract 3.02, Cochise County, Arizona",1400000US04003000302,5110,50.3,4681,24,7,69,37,0,2439,2038,1683,355,986,526,126300,1683,29,5087,410,22152,2038,36,41646,5110,1510,3144,156,2417,2088,986,0,55,0,96,309,526,04,003,000302
"Census Tract 3.03, Cochise County, Arizona",1400000US04003000303,3409,48.1,3301,0,1,11,0,34,1504,1376,1115,261,796,659,131600,1115,14,3403,276,22938,1376,12,41500,3409,1187,2143,22,1882,1812,796,10,20,0,33,74,659,04,003,000303
"Census Tract 4, Cochise County, Arizona",1400000US04003000400,2088,56.0,1868,0,5,21,0,50,1282,985,738,247,466,359,137300,738,7,2088,489,19550,985,6,27120,2088,751,1139,17,1267,1094,466,6,0,0,29,72,359,04,003,000400
"Census Tract 5, Cochise County, Arizona",1400000US04003000500,6920,36.6,5740,664,89,33,0,203,1938,1368,1121,247,639,448,126400,1121,17,3391,600,15017,1368,15,40481,6920,2867,3637,142,5438,4019,639,3,8,4,35,141,448,04,003,000500
"Census Tract 6, Cochise County, Arizona",1400000US04003000600,2432,37.7,1827,31,53,6,0,485,1181,751,660,91,197,169,67700,660,0,1975,429,14821,751,0,32128,2432,934,855,64,1561,658,197,0,0,0,0,28,169,04,003,000600
"Census Tract 7, Cochise County, Arizona",1400000US04003000700,4993,29.0,3602,17,84,18,0,1046,1684,1468,1096,372,1261,953,133000,1096,0,4899,1627,14838,1468,24,31912,4993,2958,662,86,2702,435,1261,0,0,19,0,289,953,04,003,000700
"Census Tract 8, Cochise County, Arizona",1400000US04003000800,5039,31.9,3486,20,22,0,0,1418,1980,1704,977,727,2215,1414,100300,977,0,4967,1120,13966,1704,0,32303,5039,2761,544,77,2993,495,2215,0,0,0,385,416,1414,04,003,000800
"Census Tract 9.01, Cochise County, Arizona",1400000US04003000901,3342,40.7,2477,0,2,0,0,747,1496,1218,664,554,1501,732,69700,664,0,3339,1385,12049,1218,0,22692,3342,1715,328,55,1787,243,1501,0,22,61,340,346,732,04,003,000901
"Census Tract 9.02, Cochise County, Arizona",1400000US04003000902,2945,33.2,2097,62,77,0,0,576,1193,979,578,401,1252,660,72700,578,0,2942,1180,11543,979,0,19798,2945,1454,255,50,1559,237,1252,0,0,19,108,465,660,04,003,000902
"Census Tract 10, Cochise County, Arizona",1400000US04003001000,1694,52.1,1375,122,108,19,0,69,1306,846,500,346,467,311,222900,500,0,1291,202,28220,846,0,37262,1694,505,1006,70,1233,964,467,0,40,0,21,95,311,04,003,001000
"Census Tract 11, Cochise County, Arizona",1400000US04003001100,3389,46.1,3023,93,7,53,0,164,1834,1542,1091,451,996,627,134700,1091,11,3365,707,21226,1542,11,33167,3389,1500,1418,12,2039,1406,996,4,0,12,159,194,627,04,003,001100
"Census Tract 12, Cochise County, Arizona",1400000US04003001200,3541,36.0,2954,65,76,0,15,338,1414,1206,919,287,1000,789,103400,919,23,3533,906,22558,1206,35,43359,3541,1781,1340,47,2061,1356,1000,0,0,23,46,142,789,04,003,001200
"Census Tract 13, Cochise County, Arizona",1400000US04003001300,5247,44.0,4415,256,53,22,8,228,2524,2131,1643,488,1335,802,117900,1643,28,5247,879,22656,2131,15,41201,5247,1474,3338,104,3105,2632,1335,23,0,30,11,469,802,04,003,001300
"Census Tract 14.01, Cochise County, Arizona",1400000US04003001401,3601,21.9,2437,385,156,133,0,123,800,671,41,630,2170,2099,87600,41,0,2274,223,15187,671,0,49852,3601,455,2774,84,2544,2151,2170,0,0,0,0,71,2099,04,003,001401
"Census Tract 14.02, Cochise County, Arizona",1400000US04003001402,1250,21.6,956,204,3,4,20,0,365,291,0,291,1110,1065,-666666666,0,0,1101,0,20592,291,0,67411,1250,185,801,114,791,612,1110,0,0,0,0,45,1065,04,003,001402
"Census Tract 15.01, Cochise County, Arizona",1400000US04003001501,3463,31.9,2442,241,8,113,13,625,1649,1436,633,803,1752,1578,117100,633,0,3409,607,21934,1436,19,37264,3463,1061,1709,79,2106,1489,1752,0,0,0,0,174,1578,04,003,001501
"Census Tract 15.02, Cochise County, Arizona",1400000US04003001502,3924,32.2,3089,52,25,132,0,301,1850,1560,768,792,2105,1871,120600,768,0,3893,617,16791,1560,0,32281,3924,1344,1797,177,2300,1581,2105,0,44,0,56,134,1871,04,003,001502
"Census Tract 16.01, Cochise County, Arizona",1400000US04003001601,4742,36.0,3395,484,90,184,0,124,2145,2025,1081,944,2270,1943,175000,1081,0,4742,343,27648,2025,0,56497,4742,1491,2838,183,3060,2758,2270,0,0,0,91,236,1943,04,003,001601
"Census Tract 16.02, Cochise County, Arizona",1400000US04003001602,3501,38.4,2949,128,53,51,0,130,1784,1586,614,972,1752,1338,153100,614,0,3223,592,19698,1586,0,32500,3501,928,1977,410,2151,1891,1752,0,0,25,108,281,1338,04,003,001602
"Census Tract 17.01, Cochise County, Arizona",1400000US04003001701,4633,38.5,3539,149,49,240,2,422,2320,1897,947,950,2264,1514,177200,947,0,4633,644,27534,1897,42,53844,4633,1534,2484,128,2884,2151,2264,0,0,11,225,514,1514,04,003,001701
"Census Tract 17.02, Cochise County, Arizona",1400000US04003001702,4402,31.0,2880,409,26,239,49,223,1811,1644,805,839,2110,1894,154600,805,0,4402,881,22218,1644,47,40764,4402,1373,2470,250,2624,2177,2110,0,0,17,0,199,1894,04,003,001702
"Census Tract 17.03, Cochise County, Arizona",1400000US04003001703,4023,38.6,3298,159,158,91,0,57,2036,1822,1328,494,1060,883,179100,1328,0,3973,248,30778,1822,5,61151,4023,805,2669,263,2292,1859,1060,0,0,0,0,177,883,04,003,001703
"Census Tract 18, Cochise County, Arizona",1400000US04003001800,8569,49.9,6401,586,25,568,105,294,4022,3670,2949,721,1681,1630,251700,2949,11,8566,324,39685,3670,238,80157,8569,1218,6037,358,4767,3909,1681,0,0,0,16,35,1630,04,003,001800
"Census Tract 19, Cochise County, Arizona",1400000US04003001900,7342,46.2,5991,423,18,311,134,221,2952,2820,2554,266,883,802,271700,2554,15,7334,174,39027,2820,209,98214,7342,1199,5198,331,4544,3832,883,0,0,0,0,81,802,04,003,001900
"Census Tract 20.01, Cochise County, Arizona",1400000US04003002001,4882,41.9,4185,93,3,64,0,272,2216,1791,1550,241,523,344,165600,1550,0,4852,601,26967,1791,6,57548,4882,1572,2864,69,2892,2376,523,0,0,0,106,73,344,04,003,002001
"Census Tract 20.02, Cochise County, Arizona",1400000US04003002002,4444,45.0,4146,31,30,52,0,28,1763,1651,1391,260,780,677,159500,1391,0,4441,713,24431,1651,29,49943,4444,1000,2933,116,2414,1995,780,0,0,0,51,52,677,04,003,002002
"Census Tract 21, Cochise County, Arizona",1400000US04003002100,5035,45.7,4353,85,83,58,0,104,2336,1868,1717,151,477,369,217600,1717,14,5034,689,31326,1868,125,56742,5035,1354,3289,67,2928,2601,477,0,0,0,0,108,369,04,003,002100
"Census Tract 1, Coconino County, Arizona",1400000US04005000100,3808,40.3,3251,14,182,75,0,101,1439,1392,1155,237,591,395,325700,1155,61,3808,291,32429,1392,68,74313,3808,1636,1822,115,2441,2137,591,0,28,96,0,72,395,04,005,000100
