NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1, District of Columbia, District of Columbia",1400000US11001000100,4802,41.1,4238,29,113,249,0,146,2845,2410,1201,1209,2254,0,27,175,76,196,1780,1000001,732,4797,304,126651,889,136842,695,3008,124,3289,2585,2880,2727,11,001,000100
"Census Tract 2.01, District of Columbia, District of Columbia",1400000US11001000201,4216,19.5,3476,307,0,385,0,14,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,51,51,1671,0,-666666666,16,3372,105,4182,3094,70,60,11,001,000201
"Census Tract 2.02, District of Columbia, District of Columbia",1400000US11001000202,4819,27.1,4399,121,0,141,0,15,2022,1777,1087,690,1577,0,0,0,57,25,1495,1000001,630,3718,605,72898,521,135893,583,3540,88,3809,3273,2192,2051,11,001,000202
"Census Tract 3, District of Columbia, District of Columbia",1400000US11001000300,5386,32.3,4732,98,83,289,15,122,2881,2487,1366,1121,2254,0,72,0,28,379,1775,771300,232,5386,523,65799,498,99063,878,3647,200,4109,3474,3462,3010,11,001,000300
"Census Tract 4, District of Columbia, District of Columbia",1400000US11001000400,1433,43.0,1313,36,0,72,0,0,689,597,378,219,396,0,0,0,25,24,347,1000001,210,1433,67,95042,257,182578,232,806,35,981,700,917,799,11,001,000400
"Census Tract 5.01, District of Columbia, District of Columbia",1400000US11001000501,3431,29.7,3053,61,42,145,0,0,2094,2008,298,1710,2804,13,36,73,129,255,2298,661500,63,3298,491,66261,142,89191,311,2623,77,3042,2600,2108,1929,11,001,000501
"Census Tract 5.02, District of Columbia, District of Columbia",1400000US11001000502,3260,39.7,2756,147,9,181,0,57,1810,1730,847,883,1413,22,33,73,226,38,1021,953500,398,3260,144,96429,390,104375,599,2174,33,2467,2118,2263,1971,11,001,000502
"Census Tract 6, District of Columbia, District of Columbia",1400000US11001000600,4580,47.0,3679,509,0,242,3,29,2192,2041,1387,654,1126,14,0,0,43,380,689,1000001,707,4049,371,93174,639,113922,872,2950,51,2831,2282,2545,2327,11,001,000600
"Census Tract 7.01, District of Columbia, District of Columbia",1400000US11001000701,4481,44.3,3330,240,0,572,0,41,3295,3000,1715,1285,1677,0,90,54,69,206,1258,395200,248,4481,95,84280,400,81039,589,2801,109,3083,2303,2773,2278,11,001,000701
"Census Tract 7.02, District of Columbia, District of Columbia",1400000US11001000702,3426,31.0,2804,77,36,310,0,145,2506,2394,730,1664,2453,51,77,89,44,285,1907,328700,0,3426,273,57059,55,66352,489,2035,77,3072,2408,2511,2130,11,001,000702
"Census Tract 8.01, District of Columbia, District of Columbia",1400000US11001000801,6763,44.0,5776,147,0,429,0,250,3592,3383,2001,1382,2000,19,92,42,299,84,1464,735500,651,6255,672,92174,895,118569,1168,3705,312,4337,3066,3471,2812,11,001,000801
"Census Tract 8.02, District of Columbia, District of Columbia",1400000US11001000802,2575,38.7,2189,173,0,55,0,10,1463,1352,821,531,738,14,30,0,31,134,529,739400,144,2575,218,80551,355,92384,554,1430,66,1713,1274,1536,1438,11,001,000802
"Census Tract 9.01, District of Columbia, District of Columbia",1400000US11001000901,7460,20.2,6485,490,0,382,0,51,1613,1446,1207,239,515,0,0,0,36,22,457,1000001,898,3655,238,62142,816,219583,814,5555,157,5796,4674,1871,1739,11,001,000901
"Census Tract 9.02, District of Columbia, District of Columbia",1400000US11001000902,2178,42.6,2058,27,0,51,0,18,890,810,696,114,213,0,0,0,0,102,111,928000,293,2178,101,95645,370,179167,624,1111,83,1310,1123,1210,1045,11,001,000902
"Census Tract 10.01, District of Columbia, District of Columbia",1400000US11001001001,7712,39.6,6533,203,50,567,0,8,2822,2822,2248,574,1090,33,0,0,128,46,883,844400,361,7111,364,68061,910,147500,1953,4407,223,4902,3924,3985,3635,11,001,001001
"Census Tract 10.02, District of Columbia, District of Columbia",1400000US11001001002,3003,34.2,2170,281,0,504,0,9,2344,1792,730,1062,1776,19,40,0,225,77,1415,463600,0,2986,484,63310,130,89119,324,1972,82,2514,2148,1881,1484,11,001,001002
"Census Tract 11, District of Columbia, District of Columbia",1400000US11001001100,4410,42.8,3595,204,0,333,0,0,2025,1804,1382,422,875,0,10,0,53,137,675,826700,438,4241,294,80302,519,128909,888,2758,73,2859,2079,2443,2123,11,001,001100
