NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9601, Addison County, Vermont",1400000US50001960100,3927,40.6,3854,18,0,40,0,0,1652,1510,1320,190,507,322,227900,13,3927,235,29695,28,70714,2354,1460,49,2643,2561,2460,967,50,001,960100
"Census Tract 9602, Addison County, Vermont",1400000US50001960200,2769,42.7,2647,11,13,47,0,46,1532,1115,889,226,492,315,281100,22,2758,172,28170,14,65175,1715,888,10,1752,1735,1601,509,50,001,960200
"Census Tract 9603, Addison County, Vermont",1400000US50001960300,2606,34.3,2478,62,6,0,16,9,982,888,579,309,767,596,182800,0,2510,422,20133,0,52202,1699,845,19,1615,1578,1308,352,50,001,960300
"Census Tract 9604, Addison County, Vermont",1400000US50001960400,5004,43.8,4838,19,29,25,10,16,2308,2003,1684,319,829,521,256400,39,4999,276,33233,117,65878,2874,1872,66,3177,3039,2849,1104,50,001,960400
"Census Tract 9605, Addison County, Vermont",1400000US50001960500,3898,44.9,3788,0,0,66,0,0,1686,1576,1183,393,815,473,217400,0,3882,343,25833,0,51522,2588,1113,37,2403,2234,2145,566,50,001,960500
"Census Tract 9606, Addison County, Vermont",1400000US50001960600,2618,44.0,2528,2,12,19,0,0,1509,1105,834,271,627,445,222300,5,2611,319,28451,22,54637,1415,1102,23,1624,1569,1523,570,50,001,960600
"Census Tract 9607, Addison County, Vermont",1400000US50001960700,3897,44.9,3725,55,0,117,0,0,1912,1842,1207,635,1148,746,222200,8,3876,731,34709,63,52872,1805,1931,23,2297,2197,2105,970,50,001,960700
"Census Tract 9608, Addison County, Vermont",1400000US50001960800,4585,21.6,4162,106,0,177,0,19,1173,1092,474,618,1083,804,211200,0,2331,547,16296,34,44931,882,3181,106,3912,3269,1239,507,50,001,960800
"Census Tract 9609, Addison County, Vermont",1400000US50001960900,5280,43.3,5094,42,33,16,0,14,2579,2121,1698,423,1006,590,239400,26,5256,407,30623,91,61707,2895,2130,21,3432,3232,3109,1087,50,001,960900
"Census Tract 9610, Addison County, Vermont",1400000US50001961000,2251,44.6,2169,0,15,2,0,0,1370,907,724,183,472,365,190700,3,2221,222,26421,28,50750,1525,689,12,1347,1333,1217,219,50,001,961000
"Census Tract 9702, Bennington County, Vermont",1400000US50003970200,1989,52.9,1965,0,0,6,0,0,1421,917,748,169,293,166,451400,82,1989,40,41015,53,58542,705,1187,21,1068,1034,1028,530,50,003,970200
"Census Tract 9703, Bennington County, Vermont",1400000US50003970300,1334,48.5,1257,3,12,0,0,17,805,558,481,77,188,139,255900,25,1313,142,27279,25,39745,454,815,10,663,630,611,233,50,003,970300
"Census Tract 9704, Bennington County, Vermont",1400000US50003970400,4363,47.2,4273,9,3,0,0,0,2867,2061,1562,499,787,463,341700,71,4339,408,35505,100,50671,1693,2393,54,2529,2316,2239,1102,50,003,970400
"Census Tract 9705, Bennington County, Vermont",1400000US50003970500,1101,54.1,1083,0,8,5,0,0,2531,518,422,96,195,131,378500,42,1094,78,35413,27,55000,304,699,4,610,573,569,260,50,003,970500
"Census Tract 9706, Bennington County, Vermont",1400000US50003970600,3031,46.7,2994,0,0,10,1,0,1878,1285,1070,215,509,331,193600,22,3003,309,28068,28,51790,918,2043,14,1964,1905,1781,531,50,003,970600
"Census Tract 9707, Bennington County, Vermont",1400000US50003970700,2380,49.4,2311,29,8,0,0,0,1338,1102,796,306,571,457,224900,26,2380,121,34322,66,53679,981,1286,19,1552,1527,1442,609,50,003,970700
"Census Tract 9708, Bennington County, Vermont",1400000US50003970800,3608,47.9,3522,0,2,18,0,12,1709,1517,1265,252,550,453,220200,7,3596,359,29180,33,58486,1863,1670,11,2200,2114,2011,814,50,003,970800
"Census Tract 9709, Bennington County, Vermont",1400000US50003970900,2327,24.9,2246,0,0,0,0,0,917,872,496,376,1063,769,150800,0,2327,767,16484,14,33667,1616,697,8,1357,1316,933,175,50,003,970900
"Census Tract 9710, Bennington County, Vermont",1400000US50003971000,3679,30.8,3467,45,0,68,0,6,1328,1189,857,332,641,426,202900,2,2877,475,23870,51,46761,1420,2064,29,2287,2084,1359,532,50,003,971000
"Census Tract 9711, Bennington County, Vermont",1400000US50003971100,4665,46.0,4456,10,3,130,0,11,1926,1780,1464,316,732,439,154800,0,4344,373,26572,43,52500,2943,1497,48,2806,2709,2384,537,50,003,971100
"Census Tract 9712, Bennington County, Vermont",1400000US50003971200,5088,38.5,4844,54,10,0,0,0,2440,2315,931,1384,2872,1787,163600,0,4844,1036,22240,13,29443,2646,2324,76,3028,2983,2692,414,50,003,971200
"Census Tract 9713, Bennington County, Vermont",1400000US50003971300,3528,42.7,3506,0,0,0,0,0,1720,1398,1121,277,836,223,169900,0,3518,261,25789,7,59097,1456,1923,43,2445,2337,2164,445,50,003,971300
