NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Autauga County, Alabama",0500000US01001,55049,37.8,42311,10196,226,444,31,1416,764,22714,20800,15218,5582,14426,59,73,470,2867,9189,1768,141000,10,9,7,54598,6697,26168,484,53099,38663,14574,800,33501,32143,28771,7643,01,001
"Baldwin County, Alabama",0500000US01003,199510,42.3,172441,18594,1355,1338,0,8712,1766,107579,75149,53905,21244,55515,758,440,1285,11397,37413,4222,173400,329,67,168,196640,25551,28069,3265,51365,107762,83573,1652,117902,110477,102608,29883,01,003
"Barbour County, Alabama",0500000US01005,26614,38.7,12430,12756,46,129,0,1147,1099,11802,9122,5829,3293,8743,134,227,412,2420,4727,823,90300,0,2,12,23641,6235,17249,47,33956,18657,7072,124,16480,15437,13988,1795,01,005
"Bibb County, Alabama",0500000US01007,22572,40.2,17370,4788,81,14,0,502,8,8972,7048,5119,1929,6121,166,40,628,1373,3434,480,97200,2,0,0,20603,3390,18988,55,39776,18708,3484,75,14456,13980,12390,1701,01,007
"Blount County, Alabama",0500000US01009,57704,40.8,55073,905,201,92,0,5036,501,23850,20619,16254,4365,11115,51,156,451,3569,6319,569,124200,21,13,26,57099,9441,21033,247,46212,45649,9275,315,34182,31528,29551,3940,01,009
"Bullock County, Alabama",0500000US01011,10552,39.2,2301,7967,84,84,0,13,1,4462,3556,2600,956,2853,13,168,57,848,1709,58,68000,29,0,3,10154,2728,17909,43,29335,8875,1502,15,6681,6466,5736,551,01,011
"Butler County, Alabama",0500000US01013,20280,40.6,10876,8875,15,203,0,253,44,9914,7675,5393,2282,5984,51,63,482,1716,2932,740,83000,5,5,17,19977,5126,19011,46,34315,17129,2782,86,11871,11565,10273,1633,01,013
"Calhoun County, Alabama",0500000US01015,115883,39.1,86777,23791,382,1079,6,3982,1221,53326,45071,31107,13964,35117,294,255,1741,7270,21236,4321,107900,56,64,40,112690,22135,22231,730,41954,84825,27023,1261,71781,68703,60200,10848,01,015
"Chambers County, Alabama",0500000US01017,34018,43.1,19417,13779,78,312,0,148,42,16905,13851,9370,4481,11083,118,294,410,3364,5909,988,83000,19,17,0,33503,6805,21532,155,36027,25969,7614,98,20480,20225,17599,2190,01,017
"Cherokee County, Alabama",0500000US01019,25897,45.7,24156,1209,152,109,0,405,2,16260,10999,8708,2291,5279,56,104,278,1274,3338,229,112500,15,4,0,25465,4188,22544,134,38925,14379,11286,44,15308,15199,13431,2014,01,019
"Chilton County, Alabama",0500000US01021,43817,38.7,36740,4418,134,191,0,3341,1882,19260,16619,12635,3984,10810,75,112,213,3208,6358,844,99100,71,6,0,43301,8779,22045,208,42594,33431,7699,252,26545,24290,23053,3503,01,021
"Choctaw County, Alabama",0500000US01023,13287,45.1,7495,5658,2,6,0,74,2,7241,5562,4479,1083,2266,49,35,110,866,1010,196,64600,15,0,12,13091,2743,20773,70,32622,6755,6435,75,7770,7727,6691,920,01,023
"Clarke County, Alabama",0500000US01025,24847,42.0,13253,11304,8,114,33,43,0,12589,9554,6422,3132,6970,567,322,777,1572,3412,320,85900,2,0,7,24448,6023,20543,180,32735,21404,3303,24,14741,14576,12534,1521,01,025
"Clay County, Alabama",0500000US01027,13483,43.7,11177,1993,124,0,0,419,68,6745,5363,4025,1338,3203,65,76,313,985,1482,282,90000,4,12,0,13106,2195,21115,97,38815,10796,2428,4,7953,7688,6830,670,01,027
"Cleburne County, Alabama",0500000US01029,14991,41.5,14176,354,21,86,0,349,58,6689,5834,4411,1423,3639,47,21,56,1303,1614,598,108100,23,50,14,14726,2889,19791,52,36316,8266,6387,76,8750,8496,7643,956,01,029
"Coffee County, Alabama",0500000US01031,50991,39.3,38945,8766,421,623,0,3344,528,22862,19375,12917,6458,16684,196,243,474,4307,9326,2138,142800,21,7,7,50255,8219,25325,362,47872,30463,17368,1254,30821,28323,26566,6469,01,031
