NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state
Alabama,0400000US01,4841164,38.6,3325037,1282053,23919,60744,2008,61991,2209335,1851061,1267824,583237,1446183,149125,128500,4892,1204,2195,4720592,868666,24736,54083,44758,3387845,1247781,40034,2993581,2826751,2519014,634123,01
Alaska,0400000US02,736855,33.6,483518,24443,103574,44218,8862,9900,309171,250235,159313,90922,242057,31292,257100,554,117,279,719064,72826,34191,16978,74444,303980,360653,16975,479934,399624,401394,115169,02
Arizona,0400000US04,6728577,37.1,5235158,287110,296732,205229,12863,468906,2913541,2448919,1531878,917041,2481755,286652,176900,11843,4010,6160,6573523,1165636,26686,101665,51340,2623391,3113841,89797,4038808,2863472,3370484,945710,04
Arkansas,0400000US05,2968472,37.7,2307136,460638,18697,41539,6738,67645,1341391,1141480,749452,392028,965383,120166,114700,2200,837,1251,2881404,542431,23401,30167,42336,1823628,985995,19815,1796251,1658571,1508604,341676,05
California,0400000US06,38654206,36.0,23680584,2261835,285512,5354608,150908,5133600,13911737,12807387,6929007,5878380,17101422,1284111,409300,371025,140921,182416,37913144,6004257,31458,1110197,63783,21194542,6523696,498338,24536941,13315931,20577430,6707111,06
Colorado,0400000US08,5359295,36.4,4517058,219349,50160,157523,7441,224029,2284863,2051616,1320617,730999,1787251,216885,264600,17328,5567,8384,5241057,637938,33230,128838,62520,2294446,2461186,79219,3435074,2846110,2912310,1152571,08
Connecticut,0400000US09,3588570,40.6,2768080,372696,9399,152782,1031,177594,1493798,1354713,900223,454490,1055988,98188,269300,17694,8339,14639,3479672,360464,39906,138828,71755,1981427,975151,128783,2259895,1720313,1911106,770849,09
Delaware,0400000US10,934695,39.6,647002,203027,3494,34428,461,20452,417927,348051,246940,101111,256724,25943,233100,1365,697,923,908973,109448,31118,18630,61017,425160,412024,14961,576670,496733,487082,155733,10
District of Columbia,0400000US11,659009,33.8,266035,318598,2174,24036,271,29650,306711,276546,112672,163874,353141,31673,506100,9717,3492,2997,624954,112060,48781,39318,72935,242020,312429,12047,469158,383940,387831,226251,11
Florida,0400000US12,19934451,41.6,15130748,3216994,52904,521272,11288,505877,9152815,7393262,4787320,2605942,6993450,759526,166800,46133,17427,33058,19514334,3139258,27598,322098,48900,7151459,8118169,697152,12070550,8344808,10296062,2939595,12
