NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1, District of Columbia, District of Columbia",1400000US11001000100,5005,37.5,4645,53,0,199,0,24,2942,2454,1279,1175,2048,209,1200600,191,226,318,4982,165,125348,1068,167188,814,2918,249,3408,2599,2990,2817,11,001,000100
"Census Tract 2.01, District of Columbia, District of Columbia",1400000US11001000201,3733,19.7,2607,309,0,574,0,23,3,3,3,0,0,0,-666666666,3,0,0,83,55,3820,3,-666666666,112,2965,113,3676,2535,51,22,11,001,000201
"Census Tract 2.02, District of Columbia, District of Columbia",1400000US11001000202,4417,25.5,3659,341,10,266,0,20,1851,1585,1055,530,1501,63,1193100,274,205,135,3559,741,71687,615,161378,518,2926,104,3448,2576,1671,1582,11,001,000202
"Census Tract 3, District of Columbia, District of Columbia",1400000US11001000300,6139,30.9,5074,413,18,444,0,0,2602,2544,1199,1345,3342,238,825300,153,97,0,6139,1071,70436,848,131127,926,4027,131,4842,3758,3656,3358,11,001,000300
"Census Tract 4, District of Columbia, District of Columbia",1400000US11001000400,1607,44.7,1269,79,0,149,0,28,723,645,417,228,564,22,1425000,81,49,149,1603,166,142428,297,181406,297,853,50,950,656,909,730,11,001,000400
"Census Tract 5.01, District of Columbia, District of Columbia",1400000US11001000501,3481,34.1,2897,108,62,146,0,165,2151,1971,351,1620,2663,546,676300,76,35,25,3434,257,80961,429,102398,289,2374,271,2712,1977,2389,2187,11,001,000501
"Census Tract 5.02, District of Columbia, District of Columbia",1400000US11001000502,3045,38.6,2612,103,16,166,0,34,1793,1559,783,776,1251,157,1017600,293,73,35,3045,66,93679,428,119650,425,2063,93,2145,1717,1972,1838,11,001,000502
"Census Tract 6, District of Columbia, District of Columbia",1400000US11001000600,4848,45.2,4017,406,0,232,0,46,2341,2170,1615,555,1041,65,954800,522,179,59,4620,271,116759,1092,203529,1125,2776,159,3091,2362,2890,2731,11,001,000600
"Census Tract 7.01, District of Columbia, District of Columbia",1400000US11001000701,5325,48.3,4298,349,27,247,0,100,3649,3370,1668,1702,2662,111,472300,216,0,80,5325,638,76989,524,82054,732,3263,111,3348,2494,2925,2560,11,001,000701
"Census Tract 7.02, District of Columbia, District of Columbia",1400000US11001000702,3356,30.9,2573,283,20,246,0,104,2477,2147,544,1603,2474,501,297400,9,0,0,3356,422,52065,79,70718,356,2135,28,2782,1988,2454,1830,11,001,000702
"Census Tract 8.01, District of Columbia, District of Columbia",1400000US11001000801,6740,42.7,5389,464,24,326,0,217,3022,2883,2321,562,1516,87,774000,353,231,271,6336,768,93829,1069,145592,1431,3631,141,4310,3141,3160,2848,11,001,000801
"Census Tract 8.02, District of Columbia, District of Columbia",1400000US11001000802,3213,36.2,2525,244,0,295,0,38,1414,1342,872,470,1029,112,949400,145,152,85,3213,529,71157,384,93750,529,1890,173,2202,1541,1903,1679,11,001,000802
"Census Tract 9.01, District of Columbia, District of Columbia",1400000US11001000901,7698,20.6,6062,637,9,547,0,135,1641,1580,1285,295,778,105,1405500,416,232,333,4702,466,78508,875,235517,1240,4570,216,5435,3620,2191,1838,11,001,000901
"Census Tract 9.02, District of Columbia, District of Columbia",1400000US11001000902,2467,42.8,2156,82,0,86,0,32,905,878,769,109,347,9,1129300,268,101,91,2467,57,124841,448,202250,583,1291,102,1394,1075,1341,1123,11,001,000902
"Census Tract 10.01, District of Columbia, District of Columbia",1400000US11001001001,7923,41.6,6631,232,0,433,0,75,2840,2823,2176,647,1882,0,881900,523,14,0,7665,369,67754,984,160412,1842,4217,279,4592,3422,3917,3642,11,001,001001
"Census Tract 10.02, District of Columbia, District of Columbia",1400000US11001001002,3761,29.7,3084,197,0,328,0,19,2212,1975,845,1130,2314,527,418500,0,0,0,3761,1000,61468,283,91473,580,2531,48,3088,2332,2056,1680,11,001,001002
"Census Tract 11, District of Columbia, District of Columbia",1400000US11001001100,5016,43.6,4025,469,70,296,0,38,2296,2138,1521,617,1233,153,907200,289,230,73,4938,239,100960,891,156250,1179,3072,176,2946,2561,2777,2466,11,001,001100
"Census Tract 12, District of Columbia, District of Columbia",1400000US11001001200,4950,37.3,4061,308,0,236,0,70,2639,2512,1228,1284,2293,259,829000,187,42,0,4950,180,81087,633,105000,782,2949,185,3499,2533,3218,2824,11,001,001200
"Census Tract 13.01, District of Columbia, District of Columbia",1400000US11001001301,3831,35.6,3111,480,0,206,0,0,2090,1920,671,1249,2057,178,1498300,202,169,166,3726,171,102746,508,131162,567,2666,43,2618,2181,2367,2320,11,001,001301
"Census Tract 13.02, District of Columbia, District of Columbia",1400000US11001001302,7366,35.3,5392,741,0,727,0,327,5107,4538,1416,3122,5091,542,394100,97,27,26,7366,805,85193,699,106987,632,4903,188,5538,4130,4936,4503,11,001,001302
"Census Tract 14.01, District of Columbia, District of Columbia",1400000US11001001401,3340,38.4,2718,306,16,171,0,42,1496,1455,810,645,992,85,1020400,342,78,0,3340,263,93647,563,114618,808,1920,111,2073,1567,1904,1795,11,001,001401
"Census Tract 14.02, District of Columbia, District of Columbia",1400000US11001001402,3250,43.1,2509,302,38,226,0,60,1583,1537,814,723,1185,74,830700,79,17,7,3224,242,87007,487,107348,923,1828,35,1710,1346,1518,1358,11,001,001402
"Census Tract 15, District of Columbia, District of Columbia",1400000US11001001500,6268,44.8,5141,692,0,134,0,23,2163,2029,1772,257,818,59,952500,612,90,20,6073,206,85471,1122,203796,1727,3599,232,3175,2690,2934,2635,11,001,001500
"Census Tract 16, District of Columbia, District of Columbia",1400000US11001001600,4455,48.1,1313,2969,0,26,0,37,1711,1550,1456,94,303,27,785000,271,46,0,4422,181,77485,613,170053,1593,2362,19,2572,2166,2376,1913,11,001,001600
"Census Tract 17.02, District of Columbia, District of Columbia",1400000US11001001702,3039,42.3,1339,1397,0,35,10,170,1415,1388,861,527,1148,81,416300,31,9,0,3011,152,64416,254,89268,1052,1480,102,2125,1737,2006,1405,11,001,001702
"Census Tract 18.03, District of Columbia, District of Columbia",1400000US11001001803,4059,37.0,376,2543,11,14,0,914,1705,1580,256,1324,3472,285,477100,21,0,0,4059,722,29786,113,50227,1012,875,57,2637,798,2356,769,11,001,001803
"Census Tract 18.04, District of Columbia, District of Columbia",1400000US11001001804,5682,35.4,902,3762,41,78,0,887,2215,2105,478,1627,4173,173,435100,0,0,0,5635,1146,24880,90,41894,1779,1481,152,3816,1914,3299,957,11,001,001804
"Census Tract 19.01, District of Columbia, District of Columbia",1400000US11001001901,3981,38.0,747,2697,0,166,0,315,1639,1408,976,432,1182,185,410900,9,0,11,3981,442,33395,89,74875,1734,1469,76,2496,1854,2190,1037,11,001,001901
"Census Tract 19.02, District of Columbia, District of Columbia",1400000US11001001902,2343,41.1,402,1675,3,22,0,121,853,816,664,152,415,11,469000,6,5,6,2341,226,38056,82,82344,961,1006,119,1559,1100,1465,663,11,001,001902
"Census Tract 20.01, District of Columbia, District of Columbia",1400000US11001002001,2959,42.8,769,1361,77,21,0,692,1101,1019,510,509,1306,153,705200,66,28,21,2959,294,39212,164,63906,974,1029,31,1885,1057,1757,745,11,001,002001
"Census Tract 20.02, District of Columbia, District of Columbia",1400000US11001002002,3934,39.7,1101,2131,0,73,0,513,1464,1350,857,493,1322,68,563500,3,30,12,3910,517,44135,217,82500,1598,1418,26,2525,1801,2319,1215,11,001,002002
"Census Tract 21.01, District of Columbia, District of Columbia",1400000US11001002101,5660,38.3,435,3854,309,190,0,839,2327,2091,1186,905,1901,178,364200,8,0,19,5660,482,30130,141,58480,2162,1370,31,3743,1992,3297,960,11,001,002101
"Census Tract 21.02, District of Columbia, District of Columbia",1400000US11001002102,5076,41.8,565,3586,57,34,0,728,2304,2116,1226,890,1941,380,432700,10,7,8,5013,705,42658,165,71528,2197,1829,60,3573,2743,3266,1687,11,001,002102
"Census Tract 22.01, District of Columbia, District of Columbia",1400000US11001002201,3641,34.2,620,2466,7,81,0,415,1161,1121,862,259,954,0,488900,0,0,0,3594,307,37033,123,67470,1462,1308,132,2524,1819,2120,942,11,001,002201
"Census Tract 22.02, District of Columbia, District of Columbia",1400000US11001002202,3845,32.1,411,2329,4,96,0,926,1488,1286,542,744,2146,108,422000,0,0,0,3845,813,27802,88,53073,1918,940,43,2569,1662,2239,730,11,001,002202
"Census Tract 23.01, District of Columbia, District of Columbia",1400000US11001002301,3379,39.3,831,1972,0,73,0,343,1238,1153,849,304,938,4,472400,6,8,9,3371,302,45629,226,105931,1715,1116,43,2380,1948,2137,1069,11,001,002301
"Census Tract 23.02, District of Columbia, District of Columbia",1400000US11001002302,1722,43.5,743,761,0,103,0,62,1011,779,152,627,1236,153,296700,0,0,0,1449,331,39266,25,60205,205,1330,16,1048,853,810,550,11,001,002302
"Census Tract 24, District of Columbia, District of Columbia",1400000US11001002400,4298,36.8,1219,2207,20,98,0,564,1489,1378,875,503,1429,134,486900,9,0,0,4261,377,43471,161,104651,1654,1627,95,3262,2552,2846,1533,11,001,002400
"Census Tract 25.01, District of Columbia, District of Columbia",1400000US11001002501,2986,37.8,996,1364,0,32,0,443,1118,1095,503,592,1331,229,648900,15,0,0,2981,552,42640,203,48893,905,1266,73,1966,1412,1796,746,11,001,002501
"Census Tract 25.02, District of Columbia, District of Columbia",1400000US11001002502,6042,34.8,1538,2892,8,226,0,1187,2618,2467,910,1557,3253,176,560300,11,21,0,6042,732,43245,246,65129,2165,2110,247,4437,2960,4191,1853,11,001,002502
"Census Tract 26, District of Columbia, District of Columbia",1400000US11001002600,2627,45.5,1260,1017,18,109,22,104,1035,983,723,260,539,66,905000,224,17,8,2625,89,72489,381,142417,905,1215,99,1680,1400,1514,1270,11,001,002600
"Census Tract 27.01, District of Columbia, District of Columbia",1400000US11001002701,5856,33.0,3483,1001,40,129,0,819,2894,2780,604,2176,4335,274,536400,35,15,0,5680,991,43384,283,54780,1629,2244,122,4121,2512,3854,2648,11,001,002701
"Census Tract 27.02, District of Columbia, District of Columbia",1400000US11001002702,6376,33.3,4629,906,0,146,0,362,2440,2394,983,1411,3420,213,761400,198,33,0,6369,645,51413,559,76541,1421,3348,182,5087,3449,4484,3179,11,001,002702
"Census Tract 28.01, District of Columbia, District of Columbia",1400000US11001002801,3882,31.7,1212,1605,0,178,0,793,1824,1653,316,1337,2969,133,395000,0,4,0,3857,760,26907,53,47610,969,1459,41,2786,1566,2410,989,11,001,002801
"Census Tract 28.02, District of Columbia, District of Columbia",1400000US11001002802,4514,30.3,1884,1128,3,321,0,1130,2103,1997,329,1668,3822,151,386600,0,0,0,4484,1058,33321,113,57652,1186,1531,97,3188,1792,2851,1499,11,001,002802
"Census Tract 29, District of Columbia, District of Columbia",1400000US11001002900,4352,31.1,2049,1253,0,127,0,745,1690,1551,676,875,2362,107,571600,38,0,0,4336,316,46962,272,93672,1046,2090,80,3528,2532,3096,2003,11,001,002900
"Census Tract 30, District of Columbia, District of Columbia",1400000US11001003000,3356,30.8,1568,1562,8,88,0,86,1595,1440,465,975,2242,81,647300,34,0,11,3345,811,43510,155,77609,1175,1728,51,2509,2053,2196,1607,11,001,003000
