NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Baker County, Oregon",1400000US41001950100,3110,50.6,2963,23,39,10,7,45,2000,1285,948,337,962,0,18,20,93,687,144,203800,3,9,2,3109,553,26001,11,48018,1413,1580,21,1798,1690,1577,250,41,001,950100
"Census Tract 9502, Baker County, Oregon",1400000US41001950200,3127,48.0,2959,26,48,49,0,8,1514,1378,962,416,731,0,12,21,86,612,0,136700,0,0,0,3127,297,28126,32,48000,1838,1122,66,1694,1574,1489,556,41,001,950200
"Census Tract 9503, Baker County, Oregon",1400000US41001950300,2553,46.1,2456,0,48,15,9,2,1395,1192,761,431,854,0,0,0,346,398,110,108900,0,0,0,2544,449,24128,20,36643,1207,1270,56,1351,1297,1152,209,41,001,950300
"Census Tract 9504, Baker County, Oregon",1400000US41001950400,2666,48.3,2504,0,0,26,26,22,1431,1256,808,448,773,7,0,24,212,489,41,125700,0,0,0,2635,373,23662,10,39926,1509,1114,17,1446,1437,1298,359,41,001,950400
"Census Tract 9505, Baker County, Oregon",1400000US41001950500,2787,42.7,2547,13,89,20,1,6,1123,1046,645,401,953,0,5,40,68,798,42,120400,3,1,0,2312,326,21064,33,40500,1464,1259,17,1748,1693,1490,339,41,001,950500
"Census Tract 9506, Baker County, Oregon",1400000US41001950600,1787,58.7,1719,3,16,4,0,0,1368,854,607,247,562,0,5,34,136,327,60,190400,13,0,6,1777,341,25154,22,39848,781,990,0,847,826,801,151,41,001,950600
"Census Tract 1, Benton County, Oregon",1400000US41003000100,8291,31.3,7570,44,19,378,0,188,3393,3291,1433,1858,4844,0,0,187,1356,2877,424,220400,0,0,0,8256,1796,25517,22,49589,4019,3404,67,6050,5221,4818,2707,41,003,000100
"Census Tract 2.02, Benton County, Oregon",1400000US41003000202,4819,45.9,3957,151,0,457,0,60,2403,2200,1372,828,1470,0,0,14,180,1125,151,320600,19,0,0,4819,539,39311,166,62647,1570,2591,93,2976,2306,2550,1845,41,003,000202
"Census Tract 4, Benton County, Oregon",1400000US41003000400,7596,43.5,6568,0,104,728,0,12,3413,3260,2181,1079,2219,0,0,0,234,1584,401,311100,15,0,0,7596,956,43241,301,83017,2614,4005,119,4909,4326,4029,2952,41,003,000400
"Census Tract 5, Benton County, Oregon",1400000US41003000500,3334,54.8,3045,12,18,155,0,65,1428,1387,1120,267,543,0,0,13,190,284,56,379400,4,0,0,3310,417,44001,189,76125,1097,1919,56,1685,1515,1496,973,41,003,000500
"Census Tract 6, Benton County, Oregon",1400000US41003000600,4136,40.7,3512,182,0,118,160,12,2285,2049,1030,1019,1960,0,38,92,534,1050,246,-666666666,0,0,0,4008,1004,21737,7,30431,1762,2011,65,2663,2234,2009,754,41,003,000600
"Census Tract 9, Benton County, Oregon",1400000US41003000900,5347,38.7,4673,45,39,398,30,17,2460,2255,1401,854,1917,68,0,11,90,1509,239,351200,49,0,0,5306,1026,40764,253,79775,1686,3013,62,3481,3045,2485,2106,41,003,000900
"Census Tract 10.01, Benton County, Oregon",1400000US41003001001,4212,27.8,3429,170,21,241,0,119,1839,1715,545,1170,2992,9,18,120,582,1784,479,230900,0,0,0,4210,1201,19646,10,34875,1908,1545,14,2822,2111,1987,674,41,003,001001
"Census Tract 10.02, Benton County, Oregon",1400000US41003001002,3239,31.4,2739,2,40,306,0,29,1392,1320,600,720,1849,0,0,32,354,1272,191,244000,0,0,8,3239,907,25572,25,49519,1118,1728,14,2541,2097,1629,955,41,003,001002
"Census Tract 11.01, Benton County, Oregon",1400000US41003001101,3896,21.1,3084,35,19,510,5,16,1435,1239,142,1097,2676,0,0,36,199,1710,731,228900,17,0,0,3019,2011,11484,7,15625,1909,1424,50,3590,2966,691,386,41,003,001101
"Census Tract 11.02, Benton County, Oregon",1400000US41003001102,4873,22.7,4131,4,5,521,24,42,2210,1950,441,1509,3504,0,0,0,355,2838,311,237900,0,0,0,4564,2452,15179,6,21432,2214,1867,20,4376,3519,1567,764,41,003,001102
"Census Tract 101, Benton County, Oregon",1400000US41003010100,8774,44.9,8329,11,37,140,0,38,3344,3261,3116,145,434,0,0,0,185,197,52,275800,11,0,0,8774,255,36121,256,83530,4308,4162,51,4759,4425,4214,2360,41,003,010100
"Census Tract 102, Benton County, Oregon",1400000US41003010200,4515,46.6,4154,51,56,63,3,26,1777,1622,1270,352,1071,0,58,20,269,620,104,292500,25,0,0,4515,437,32105,106,64113,2057,2294,43,2812,2733,2476,1024,41,003,010200
"Census Tract 103, Benton County, Oregon",1400000US41003010300,3398,49.2,3227,0,10,38,0,36,1442,1340,1089,251,680,26,3,44,143,333,131,290200,22,6,0,3398,338,26804,28,61912,1718,1465,83,2024,1971,1937,618,41,003,010300
"Census Tract 104, Benton County, Oregon",1400000US41003010400,4032,43.0,3611,70,74,0,3,218,1663,1489,1011,478,1339,67,17,49,513,635,58,257200,0,0,0,4032,481,26259,51,55528,2372,1329,62,2282,1957,2063,475,41,003,010400
"Census Tract 106, Benton County, Oregon",1400000US41003010600,5171,20.9,4129,13,43,658,27,31,2104,1653,289,1364,2403,0,5,25,326,1500,547,280100,0,0,0,3026,1516,14382,44,19922,2196,2036,69,4787,3694,1155,611,41,003,010600
"Census Tract 107.02, Benton County, Oregon",1400000US41003010702,3697,20.1,2850,42,21,404,12,104,1038,880,238,642,1465,6,14,0,288,839,318,380500,0,0,0,1995,783,16485,33,22917,1602,1639,73,3167,2615,734,497,41,003,010702
